Local Team,Away Team,Date
Argentina,Canada,2024-06-20T20:00:00.000Z
Peru,Chile,2024-06-21T20:00:00.000Z
Ecuador,Venezuela,2024-06-22T18:00:00.000Z
Mexico,Jamaica,2024-06-22T19:00:00.000Z
USA,Bolivia,2024-06-23T18:00:00.000Z
Uruguay,Panama,2024-06-23T19:00:00.000Z
Colombia,Paraguay,2024-06-24T18:00:00.000Z
Brazil,Costa Rica,2024-06-24T19:00:00.000Z
Peru,Canada,2024-06-25T18:00:00.000Z
Chile,Argentina,2024-06-25T21:00:00.000Z
Ecuador,Jamaica,2024-06-26T18:00:00.000Z
Venezuela,Mexico,2024-06-26T19:00:00.000Z
Panama,USA,2024-06-27T18:00:00.000Z
Uruguay,Bolivia,2024-06-27T19:00:00.000Z
Argentina,Peru,2024-06-29T20:00:00.000Z
Canada,Chile,2024-06-29T20:00:00.000Z
Jamaica,Venezuela,2024-06-30T20:00:00.000Z
Mexico,Ecuador,2024-06-30T20:00:00.000Z
Bolivia,Panama,2024-07-01T21:00:00.000Z
USA,Uruguay,2024-07-01T21:00:00.000Z
Brazil,Colombia,2024-07-02T21:00:00.000Z
Costa Rica,Paraguay,2024-07-02T21:00:00.000Z
