Local Team,Away Team,Date
México,Sudáfrica,2026-06-11T20:00:00.000Z
Corea del Sur,República Checa,2026-06-12T03:00:00.000Z
Canadá,Bosnia y Herzegovina,2026-06-12T20:00:00.000Z
Estados Unidos,Paraguay,2026-06-13T02:00:00.000Z
Catar,Suiza,2026-06-13T20:00:00.000Z
Brasil,Marruecos,2026-06-13T23:00:00.000Z
Haití,Escocia,2026-06-14T02:00:00.000Z
Australia,Turquía,2026-06-14T05:00:00.000Z
Alemania,Curazao,2026-06-14T18:00:00.000Z
Países Bajos,Japón,2026-06-14T21:00:00.000Z
Costa de Marfil,Ecuador,2026-06-15T00:00:00.000Z
Suecia,Túnez,2026-06-15T03:00:00.000Z
España,Cabo Verde,2026-06-15T17:00:00.000Z
Bélgica,Egipto,2026-06-15T20:00:00.000Z
Arabia Saudita,Uruguay,2026-06-15T23:00:00.000Z
Irán,Nueva Zelanda,2026-06-16T02:00:00.000Z
Francia,Senegal,2026-06-16T20:00:00.000Z
Irak,Noruega,2026-06-16T23:00:00.000Z
Argentina,Argelia,2026-06-17T02:00:00.000Z
Austria,Jordania,2026-06-17T05:00:00.000Z
Portugal,República Democrática del Congo,2026-06-17T18:00:00.000Z
Inglaterra,Croacia,2026-06-17T21:00:00.000Z
Ghana,Panamá,2026-06-18T00:00:00.000Z
Uzbekistán,Colombia,2026-06-18T03:00:00.000Z
República Checa,Sudáfrica,2026-06-18T17:00:00.000Z
Suiza,Bosnia y Herzegovina,2026-06-18T20:00:00.000Z
Canadá,Catar,2026-06-18T23:00:00.000Z
México,Corea del Sur,2026-06-19T02:00:00.000Z
Estados Unidos,Australia,2026-06-19T20:00:00.000Z
Escocia,Marruecos,2026-06-19T23:00:00.000Z
Brasil,Haití,2026-06-20T01:30:00.000Z
Turquía,Paraguay,2026-06-20T04:00:00.000Z
Países Bajos,Suecia,2026-06-20T18:00:00.000Z
Alemania,Costa de Marfil,2026-06-20T21:00:00.000Z
Ecuador,Curazao,2026-06-21T01:00:00.000Z
Túnez,Japón,2026-06-21T05:00:00.000Z
España,Arabia Saudita,2026-06-21T17:00:00.000Z
Bélgica,Irán,2026-06-21T20:00:00.000Z
Uruguay,Cabo Verde,2026-06-21T23:00:00.000Z
Nueva Zelanda,Egipto,2026-06-22T02:00:00.000Z
Argentina,Austria,2026-06-22T18:00:00.000Z
Francia,Irak,2026-06-22T22:00:00.000Z
Noruega,Senegal,2026-06-23T01:00:00.000Z
Jordania,Argelia,2026-06-23T04:00:00.000Z
Portugal,Uzbekistán,2026-06-23T18:00:00.000Z
Inglaterra,Ghana,2026-06-23T21:00:00.000Z
Panamá,Croacia,2026-06-24T00:00:00.000Z
Colombia,República Democrática del Congo,2026-06-24T03:00:00.000Z
Suiza,Canadá,2026-06-24T20:00:00.000Z
Bosnia y Herzegovina,Catar,2026-06-24T20:00:00.000Z
Marruecos,Haití,2026-06-24T23:00:00.000Z
Escocia,Brasil,2026-06-24T23:00:00.000Z
Sudáfrica,Corea del Sur,2026-06-25T02:00:00.000Z
República Checa,México,2026-06-25T02:00:00.000Z
Curazao,Costa de Marfil,2026-06-25T21:00:00.000Z
Ecuador,Alemania,2026-06-25T21:00:00.000Z
Túnez,Países Bajos,2026-06-26T00:00:00.000Z
Japón,Suecia,2026-06-26T00:00:00.000Z
Turquía,Estados Unidos,2026-06-26T03:00:00.000Z
Paraguay,Australia,2026-06-26T03:00:00.000Z
Noruega,Francia,2026-06-26T20:00:00.000Z
Senegal,Irak,2026-06-26T20:00:00.000Z
Cabo Verde,Arabia Saudita,2026-06-27T01:00:00.000Z
Uruguay,España,2026-06-27T01:00:00.000Z
Nueva Zelanda,Bélgica,2026-06-27T04:00:00.000Z
Egipto,Irán,2026-06-27T04:00:00.000Z
Panamá,Inglaterra,2026-06-27T22:00:00.000Z
Croacia,Ghana,2026-06-27T22:00:00.000Z
Colombia,Portugal,2026-06-28T00:30:00.000Z
República Democrática del Congo,Uzbekistán,2026-06-28T00:30:00.000Z
Argelia,Austria,2026-06-28T03:00:00.000Z
Jordania,Argentina,2026-06-28T03:00:00.000Z
