case,elapsed_ms,foreground_x_pt,foreground_width_pt,foreground_height_pt,safe_left_pt,safe_right_pt,leading_margin_pt,navigation_bar_height_pt,inline_title_x_pt
iOS27-list-open-close,7157,39.3,402.0,874.0,0.0,0.0,16.0,106.0,165.0
iOS27-list-open-close,7207,149.0,402.0,874.0,0.0,0.0,16.0,106.0,165.0
iOS27-list-open-close,7257,233.7,402.0,874.0,0.0,0.0,16.0,106.0,165.0
iOS27-list-open-close,7306,286.3,402.0,874.0,0.0,0.0,16.0,106.0,165.0
iOS27-list-open-close,7357,312.7,402.0,874.0,0.0,0.0,16.0,106.0,165.0
iOS27-list-open-close,7405,325.7,402.0,874.0,0.0,0.0,16.0,106.0,165.0
iOS27-list-open-close,7456,333.0,402.0,874.0,0.0,0.0,16.0,106.0,165.0
iOS27-list-open-close,7505,335.7,402.0,874.0,0.0,0.0,16.0,106.0,165.0
iOS27-list-open-close,7555,338.0,402.0,874.0,0.0,0.0,16.0,106.0,165.0
iOS27-list-open-close,7605,339.0,402.0,874.0,0.0,0.0,16.0,106.0,165.0
iOS27-list-open-close,7654,339.3,402.0,874.0,0.0,0.0,16.0,106.0,165.0
iOS27-list-open-close,7705,339.7,402.0,874.0,0.0,0.0,16.0,106.0,165.0
iOS27-list-open-close,7754,340.0,402.0,874.0,0.0,0.0,16.0,106.0,165.0
iOS27-list-open-close,10355,256.7,402.0,874.0,0.0,0.0,16.0,106.0,165.0
iOS27-list-open-close,10405,158.7,402.0,874.0,0.0,0.0,16.0,106.0,165.0
iOS27-list-open-close,10455,86.3,402.0,874.0,0.0,0.0,16.0,106.0,165.0
iOS27-list-open-close,10506,44.7,402.0,874.0,0.0,0.0,16.0,106.0,165.0
iOS27-list-open-close,10556,21.7,402.0,874.0,0.0,0.0,16.0,106.0,165.0
iOS27-list-open-close,10606,10.7,402.0,874.0,0.0,0.0,16.0,106.0,165.0
iOS27-list-open-close,10656,5.7,402.0,874.0,0.0,0.0,16.0,106.0,165.0
iOS27-list-open-close,10706,2.7,402.0,874.0,0.0,0.0,16.0,106.0,165.0
iOS27-list-open-close,10756,1.3,402.0,874.0,0.0,0.0,16.0,106.0,165.0
iOS27-list-open-close,10804,0.7,402.0,874.0,0.0,0.0,16.0,106.0,165.0
iOS27-list-open-close,10855,0.3,402.0,874.0,0.0,0.0,16.0,106.0,165.0
iOS27-list-open-close,10960,0.0,402.0,874.0,0.0,0.0,16.0,106.0,165.0
iOS27-list-open-close,18131,0.0,874.0,402.0,62.0,62.0,78.0,54.0,401.0
iOS27-list-open-close,21458,46.7,874.0,402.0,62.0,62.0,78.0,54.0,401.0
iOS27-list-open-close,21505,176.3,874.0,402.0,62.0,62.0,78.0,54.0,401.0
iOS27-list-open-close,21555,276.0,874.0,402.0,62.0,62.0,78.0,54.0,401.0
iOS27-list-open-close,21605,338.7,874.0,402.0,62.0,62.0,78.0,54.0,401.0
iOS27-list-open-close,21655,368.3,874.0,402.0,62.0,62.0,78.0,54.0,401.0
iOS27-list-open-close,21705,385.3,874.0,402.0,62.0,62.0,78.0,54.0,401.0
iOS27-list-open-close,21755,393.7,874.0,402.0,62.0,62.0,78.0,54.0,401.0
iOS27-list-open-close,21805,398.0,874.0,402.0,62.0,62.0,78.0,54.0,401.0
iOS27-list-open-close,21856,399.3,874.0,402.0,62.0,62.0,78.0,54.0,401.0
iOS27-list-open-close,21906,400.7,874.0,402.0,62.0,62.0,78.0,54.0,401.0
iOS27-list-open-close,21955,401.3,874.0,402.0,62.0,62.0,78.0,54.0,401.0
iOS27-list-open-close,22006,401.7,874.0,402.0,62.0,62.0,78.0,54.0,401.0
iOS27-list-open-close,22059,402.0,874.0,402.0,62.0,62.0,78.0,54.0,401.0
iOS27-list-open-close,24055,347.3,874.0,402.0,62.0,62.0,78.0,54.0,401.0
iOS27-list-open-close,24105,217.7,874.0,402.0,62.0,62.0,78.0,54.0,401.0
iOS27-list-open-close,24155,126.0,874.0,402.0,62.0,62.0,78.0,54.0,401.0
iOS27-list-open-close,24204,63.3,874.0,402.0,62.0,62.0,78.0,54.0,401.0
iOS27-list-open-close,24259,32.0,874.0,402.0,62.0,62.0,78.0,54.0,401.0
iOS27-list-open-close,24307,16.0,874.0,402.0,62.0,62.0,78.0,54.0,401.0
iOS27-list-open-close,24358,8.0,874.0,402.0,62.0,62.0,78.0,54.0,401.0
iOS27-list-open-close,24408,4.0,874.0,402.0,62.0,62.0,78.0,54.0,401.0
iOS27-list-open-close,24457,2.0,874.0,402.0,62.0,62.0,78.0,54.0,401.0
iOS27-list-open-close,24508,1.0,874.0,402.0,62.0,62.0,78.0,54.0,401.0
iOS27-list-open-close,24558,0.3,874.0,402.0,62.0,62.0,78.0,54.0,401.0
iOS27-list-open-close,24604,0.3,874.0,402.0,62.0,62.0,78.0,54.0,401.0
iOS27-list-open-close,24659,0.0,874.0,402.0,62.0,62.0,78.0,54.0,401.0
iOS18-home-rotation-reversal,1286,0.0,402.0,874.0,0.0,0.0,16.0,96.0,173.3
iOS18-home-rotation-reversal,1335,39.3,402.0,874.0,0.0,0.0,16.0,96.0,173.3
iOS18-home-rotation-reversal,1386,149.0,402.0,874.0,0.0,0.0,16.0,96.0,173.3
iOS18-home-rotation-reversal,1435,233.7,402.0,874.0,0.0,0.0,16.0,96.0,173.3
iOS18-home-rotation-reversal,1485,284.0,402.0,874.0,0.0,0.0,16.0,96.0,173.3
iOS18-home-rotation-reversal,1535,311.7,402.0,874.0,0.0,0.0,16.0,96.0,173.3
iOS18-home-rotation-reversal,1585,325.7,402.0,874.0,0.0,0.0,16.0,96.0,173.3
iOS18-home-rotation-reversal,1635,333.0,402.0,874.0,0.0,0.0,16.0,96.0,173.3
iOS18-home-rotation-reversal,1684,336.7,402.0,874.0,0.0,0.0,16.0,96.0,173.3
iOS18-home-rotation-reversal,1735,338.3,402.0,874.0,0.0,0.0,16.0,96.0,173.3
iOS18-home-rotation-reversal,1785,339.3,402.0,874.0,0.0,0.0,16.0,96.0,173.3
iOS18-home-rotation-reversal,1835,339.7,402.0,874.0,0.0,0.0,16.0,96.0,173.3
iOS18-home-rotation-reversal,1940,340.0,402.0,874.0,0.0,0.0,16.0,96.0,173.3
iOS18-home-rotation-reversal,7692,402.0,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,16385,389.3,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,16435,268.0,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,16485,148.3,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,16535,78.7,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,16585,42.3,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,16635,21.3,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,16685,10.7,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,16735,5.0,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,16785,2.3,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,16836,1.3,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,16886,0.7,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,16936,0.3,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,16986,0.0,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,17035,0.0,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,19386,98.3,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,19436,221.3,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,19486,304.3,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,19536,351.3,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,19586,376.3,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,19636,389.3,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,19685,395.7,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,19736,399.0,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,19786,400.3,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,19836,401.3,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,19886,401.7,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,19986,402.0,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,21336,355.3,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,21386,225.7,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,21436,126.0,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,21486,63.3,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,21536,32.0,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,21586,16.7,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,21636,8.3,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,21686,4.0,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,21736,2.0,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,21786,1.0,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,21836,0.3,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,21945,0.0,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,24136,46.7,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,24186,176.3,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,24236,276.0,874.0,402.0,62.0,62.0,78.0,44.0,409.3
iOS18-home-rotation-reversal,24286,338.7,874.0,402.0,62.0,62.0,78.0,44.0,409.3
